EDITION;ID;PERSON;TITLE;INTERNATIONAL TITLES;DIRECTOR/S;MAIN PRODUCTION COUNTRY;CO-PRODUCTION COUNTRY/IES;SECTION;PRIZE;NOTE
2022;1289632;;LAST DANCE;;Delphine Lehericey ;Switzerland;Belgium;Piazza Grande;Prix du public UBS;
2021;1218896;;SEPERTI DENDAM, RINDU HARUS DIBAYAR TUNTAS;Vengeance Is Mine, All Others Pay Cash;Edwin;Indonesia;Singapore, Germany;Concorso internazionale;Pardo d’oro;
2021;1217378;;JIAO MA TANG HUI;A New Old Play;QIU Jiongjiong;Hong Kong;France;Concorso internazionale;Special Jury Prize of the Cities of Ascona and Losone;
2021;1216802;;ZEROS AND ONES;;Abel Ferrara;Germany;United Kingdom, USA;Concorso internazionale;Pardo for Best Direction of the City and Region of Locarno;
2021;1218105;Anastasiya Krasovskaya;GERDA;;Natalya Kudryashova;Russia;;Concorso internazionale;Pardo for Best Actress;
2021;1217086;Mohamed Mellali, Valero Escolar ;SIS DIES CORRENTS;The Odd-job Men;Neus Ballús;Spain;;Concorso internazionale;Pardo for Best Actor;
2021;1204083;;SOUL OF A BEAST ;;Lorenz Merz;Switzerland;;Concorso internazionale;Special mention;
2021;1217650;;ESPÍRITU SAGRADO;The Sacred Spirit;Chema García Ibarra;Spain;France, Türkiye;Concorso internazionale;Special mention;
2021;1198291;;BROTHERHOOD;;Francesco Montagner;Czech Republic ;Italy;Concorso Cineasti del presente;Pardo d’oro Concorso Cineasti del presente;
2021;1211870;;IL LEGIONARIO;The Legionnaire;Hleb Papou;Italy;France;Concorso Cineasti del presente;Best Emerging Director Award of the City and Region of Locarno;
2021;1200348;;L'ÉTÉ L'ÉTERNITÉ;Our Eternal Summer;Émilie Aussel;France;;Concorso Cineasti del presente;Special Jury Prize Ciné+;
2021;1217502;Saskia Rosendahl;NIEMAND IST BEI DEN KÄLBERN;No One's with the Calves;Sabrina Sarabi;Germany;;Concorso Cineasti del presente;Pardo for Best Actress;
